City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Tsabong,BW,2021-10-03 20:04:08,-26.0217,22.401,57.22,20,0,9.69
152,Hermanus,ZA,2021-10-03 20:04:08,-34.4187,19.2345,53.91,67,55,7.58
153,Butaritari,KI,2021-10-03 20:00:29,3.0707,172.7902,82.29,67,100,17.29
154,Kodiak,US,2021-10-03 20:04:08,57.79,-152.4072,40.19,54,2,8.34
155,Altamont,US,2021-10-03 20:04:08,42.2068,-121.7372,76.77,28,1,1.01
156,Strezhevoy,RU,2021-10-03 20:04:09,60.7333,77.5889,31.98,91,16,6.15
157,Karratha,AU,2021-10-03 20:01:14,-20.7377,116.8463,69.71,69,0,9.22
158,Yatou,CN,2021-10-03 20:01:26,37.15,122.3833,73.24,94,100,16.46
159,Sabang,ID,2021-10-03 20:03:32,5.8933,95.3214,81.77,77,68,12.44
160,Talnakh,RU,2021-10-03 20:03:48,69.4865,88.3972,17.28,96,97,1.25
161,Leningradskiy,RU,2021-10-03 20:04:09,69.3833,178.4167,17.67,84,94,4.34
162,Kassala,SD,2021-10-03 20:04:09,15.451,36.4,89.69,44,95,8.39
163,Vila,PT,2021-10-03 20:04:10,42.0304,-8.1588,50.94,84,27,1.59
164,Oshakati,NA,2021-10-03 20:04:10,-17.7833,15.6833,73.47,15,3,11.12
165,Lamar,US,2021-10-03 20:04:10,33.6668,-95.5836,85.64,49,40,10.36
166,Makokou,GA,2021-10-03 20:04:11,0.5738,12.8642,69.93,97,55,1.34
167,Meulaboh,ID,2021-10-03 20:04:11,4.1363,96.1285,75.07,86,53,3.69
168,Puerto Leguizamo,CO,2021-10-03 20:04:11,-0.1934,-74.7819,81.99,81,100,1.41
169,Nova Olimpia,BR,2021-10-03 20:04:12,-14.7972,-57.2881,92.59,36,94,4.07
170,Castro,BR,2021-10-03 20:04:12,-24.7911,-50.0119,65.32,95,100,2.98
171,Ko Samui,TH,2021-10-03 20:04:12,9.5357,99.9357,83.25,73,43,12.75
172,Hilo,US,2021-10-03 20:03:31,19.7297,-155.09,79.79,84,90,5.75
173,Saint-Denis,FR,2021-10-03 20:04:13,48.9167,2.3333,57.36,83,0,1.99
174,Katsuura,JP,2021-10-03 20:00:56,35.1333,140.3,71.71,79,1,7.27
175,Nizhnevartovsk,RU,2021-10-03 20:04:13,60.9344,76.5531,32.02,93,75,8.95
176,North Bend,US,2021-10-03 20:04:13,43.4065,-124.2243,68.92,77,1,11.5
177,Netanya,IL,2021-10-03 20:00:12,32.3329,34.8599,77.02,69,1,7.14
178,Hovd,MN,2021-10-03 20:04:14,48.0056,91.6419,31.98,36,4,4.03
179,Chopinzinho,BR,2021-10-03 20:01:19,-25.8558,-52.5233,64.17,94,98,5.08
180,Ler,SS,2021-10-03 20:04:14,8.3018,30.1418,73.44,88,20,2.3
181,Lazaro Cardenas,MX,2021-10-03 20:04:14,17.9583,-102.2,85.69,65,11,6.93
182,Havoysund,NO,2021-10-03 20:04:14,70.9963,24.6622,52.68,75,100,31.07
183,Kieta,PG,2021-10-03 20:04:15,-6.2167,155.6333,78.73,81,100,3.02
184,Thompson,CA,2021-10-03 20:00:52,55.7435,-97.8558,65.25,38,100,6.91
185,Cidreira,BR,2021-10-03 20:04:15,-30.1811,-50.2056,66.88,88,100,7.52
186,Yermakovskoye,RU,2021-10-03 20:04:15,53.2831,92.4003,29.37,76,46,2.48
187,Saldanha,ZA,2021-10-03 20:04:16,-33.0117,17.9442,56.1,71,0,25.64
188,Narsaq,GL,2021-10-03 20:00:52,60.9167,-46.05,39.42,62,0,5.26
189,Xichang,CN,2021-10-03 20:04:16,27.8964,102.2634,62.64,92,13,1.45
190,Norman Wells,CA,2021-10-03 20:02:29,65.282,-126.8329,34.92,97,100,17.96
191,Techiman,GH,2021-10-03 20:04:16,7.5862,-1.9414,73.99,90,25,3.11
192,Agirish,RU,2021-10-03 20:04:16,61.9247,63.0231,27.86,84,11,3.76
193,Ternate,ID,2021-10-03 20:02:36,0.8,127.4,80.71,78,100,5.57
194,Kibala,TD,2021-10-03 20:04:17,9.1104,18.3463,74.19,86,48,3.44
195,Katangli,RU,2021-10-03 20:04:17,51.7102,143.2326,37.76,86,100,8.7
196,Ixtapa,MX,2021-10-03 20:04:17,20.7,-105.2,88.23,66,20,9.22
197,Mandera,KE,2021-10-03 20:04:17,3.9366,41.867,88.65,38,1,10.38
198,Tilichiki,RU,2021-10-03 20:03:16,60.4667,166.1,37.11,94,100,20.33
199,Zhanaozen,KZ,2021-10-03 20:04:17,43.3,52.8,53.31,30,45,15.3
200,Nacogdoches,US,2021-10-03 20:04:18,31.6002,-94.6335,90.05,39,20,14.97
201,Kalnibolotskaya,RU,2021-10-03 20:04:18,46.0058,40.4568,55.56,44,100,16.51
202,Kamenka,RU,2021-10-03 20:04:18,51.3223,42.7678,43.83,72,1,6.38
203,Moose Factory,CA,2021-10-03 20:04:18,51.2585,-80.6094,58.03,62,20,7.65
204,Hof,DE,2021-10-03 20:02:31,50.3167,11.9167,61.95,75,100,5.01
205,Acapulco,MX,2021-10-03 20:01:28,16.8634,-99.8901,85.98,69,21,6.6
206,Chuy,UY,2021-10-03 20:02:40,-33.6971,-53.4616,58.95,60,62,12.28
207,Souillac,MU,2021-10-03 20:04:19,-20.5167,57.5167,73.36,81,15,13.71
208,Markivka,UA,2021-10-03 20:04:19,49.5229,39.5705,45.91,60,0,8.57
209,Tiksi,RU,2021-10-03 20:04:19,71.6872,128.8694,24.71,88,97,13.0
210,Cockburn Town,TC,2021-10-03 20:00:20,21.4612,-71.1419,83.66,69,94,19.1
211,Manjacaze,MZ,2021-10-03 20:04:19,-24.7117,33.8828,67.39,89,99,12.12
212,Elko,US,2021-10-03 20:01:53,41.0002,-115.5012,75.74,13,0,8.01
213,Yetkul,RU,2021-10-03 20:04:20,54.8221,61.588,33.78,80,87,5.88
214,Jalu,LY,2021-10-03 20:03:32,29.0331,21.5482,74.97,41,0,6.38
215,Saint Anthony,US,2021-10-03 20:04:20,45.0205,-93.218,74.1,63,1,1.01
216,Walvis Bay,NA,2021-10-03 20:04:20,-22.9575,14.5053,55.09,88,0,3.38
217,Yulara,AU,2021-10-03 20:04:20,-25.2406,130.9889,53.44,37,0,6.91
218,Lupiro,TZ,2021-10-03 20:04:21,-8.3833,36.6667,76.87,46,47,8.93
219,Becerril,CO,2021-10-03 20:04:21,9.7041,-73.2793,84.27,83,94,2.06
220,Mecca,SA,2021-10-03 20:04:21,21.4267,39.8261,86.9,44,19,4.0
221,Camacha,PT,2021-10-03 20:04:21,33.0833,-16.3333,72.54,88,40,10.36
222,Tuktoyaktuk,CA,2021-10-03 20:04:22,69.4541,-133.0374,34.11,89,100,19.91
223,Parsabad,IR,2021-10-03 20:04:22,39.6482,47.9174,61.61,67,100,1.92
224,Roma,US,2021-10-03 20:04:22,43.2128,-75.4557,64.44,93,90,9.22
225,Tamworth,GB,2021-10-03 20:04:23,52.634,-1.6959,53.92,85,4,5.01
226,Sebezh,RU,2021-10-03 20:04:23,56.2955,28.4654,46.96,78,80,10.18
227,Cherskiy,RU,2021-10-03 20:04:23,68.75,161.3,15.85,98,93,3.09
228,Ballina,AU,2021-10-03 20:04:23,-28.8667,153.5667,59.77,55,16,5.57
